long,lat
-117.769942,48.13778
-122.028168,47.586173
-122.249664,47.497442
-122.370159,47.743354
-121.819086,47.539931
-122.842388,46.855401
-122.355669,48.416422
-122.663093,48.194534
-122.469847,47.247509
-122.296466,47.631708
-122.122018,47.678465
-122.014191,47.559121
-122.508465,45.670446
-122.195157,47.988773
-122.508465,45.670446
-122.313368,47.54411
-122.014191,47.559121
-122.148214,47.292978
-122.297534,47.685291
-122.394511,47.574001
-122.042724,47.623594
-122.132064,47.494834
-122.535237,47.227719
-122.334341,47.611423
-122.183961,47.510245
-122.874042,46.998873
-122.370159,47.743354
-122.534497,47.643688
-122.558621,46.888349
-122.375438,47.667804
-123.09921,47.225326
-121.92791,47.853585
-122.227947,47.565443
-122.354954,47.537664
-122.204248,47.719278
-122.122018,47.678465
-122.328611,47.602601
-122.188994,47.678406
-122.132064,47.494834
-122.454718,48.801538
-122.122018,47.678465
-122.506857,47.285977
-119.294913,46.328447
-122.151342,47.560192
-122.151342,47.560192
-122.34619,47.615293
-122.122018,47.678465
-122.373626,47.13139
-122.685324,46.580567
-120.803532,46.691488
-122.296466,47.631708
-122.028168,47.586173
-122.718893,47.376283
-122.227947,47.565443
-122.297534,47.685291
-122.370159,47.743354
-122.86836,47.085951
-122.447791,47.1543
-122.334183,47.577828
-122.246193,47.755504
-122.203169,47.619011
-122.979969,47.078241
-122.374864,47.548552
-122.874042,46.998873
-122.577964,45.62094
-122.396286,47.293138
-122.303324,47.756486
-122.122018,47.678465
-122.893778,46.292386
-122.122018,47.678465
-122.534497,47.643688
-122.045204,48.19401
-122.028168,47.586173
-119.285025,46.247465
-122.454718,48.801538
-121.889686,46.039497
-122.221114,48.097872
-122.122018,47.678465
-122.143231,47.611666
-122.343577,47.672491
-122.751179,47.002092
-122.370159,47.743354
-122.283685,46.882069
-122.183961,47.510245
-122.168422,47.614824
-122.34619,47.615293
-122.459716,47.265523
-122.343983,47.739969
-122.195157,47.988773
-122.024951,47.670286
-122.122018,47.678465
-122.296466,47.631708
-122.343983,47.739969
-122.261321,47.390601
-122.276826,47.449726
-122.204248,47.719278
-122.188994,47.678406
-122.151342,47.560192
-121.819086,47.539931
-122.203169,47.619011
-122.297534,47.685291
-122.275593,47.54055
-122.045204,48.19401
-122.151342,47.560192
-122.183961,47.510245
-122.028168,47.586173
-121.668459,47.426482
-122.201515,47.843376
-122.379354,47.687571
-123.020941,46.96755
-122.493388,48.74995
-122.02812,47.393554
-122.896991,48.501028
-122.493388,48.74995
-122.212105,47.792368
-122.534497,47.643688
-122.296466,47.631708
-122.201515,47.843376
-122.132064,47.494834
-122.599454,47.36582
-122.308752,48.21817
-122.201515,47.843376
-122.612932,47.300296
-122.599454,47.36582
-122.343577,47.672491
-122.02812,47.393554
-122.30033,47.585339
-122.288044,47.02748
-122.303604,47.716244
-122.343983,47.739969
-122.751179,47.002092
-122.633393,47.748427
-122.34619,47.615293
-122.527513,47.75152
-122.10812,47.838517
-122.658901,47.466778
-122.615152,48.863295
-117.433324,47.662261
-122.493388,48.74995
-122.324308,47.149041
-122.143231,47.611666
-122.234589,47.626443
-122.085999,48.016305
-122.818016,48.080229
-117.083224,47.660645
-122.10812,47.838517
-122.346385,47.630685
-122.454718,48.801538
-122.343983,47.739969
-122.170798,47.184615
-122.534497,47.643688
-122.137386,47.444808
-122.212105,47.792368
-122.195381,47.369696
-121.910037,47.06488
-122.343983,47.739969
-122.396286,47.293138
-117.404476,47.629317
-121.910037,47.06488
-122.312071,47.395276
-122.924946,48.657249
-122.321673,47.634289
