station_id,charging_status,latitude,longtitude,address,zip_code,outlet_counts
145576,TRUE,47.0001351,-122.8280101,4501 Intelco Loop SE,98503,1
145575,TRUE,46.99353,-122.908081,6131 Capital Blvd SW,98501,2
145571,TRUE,46.978901,-120.543425,1406 Canyon Road,98926,2
145569,TRUE,46.971813,-122.888172,8005 River Dr.,98501,1
145492,TRUE,46.7867515,-121.7337654,Paradise Inn,98368,1
145484,TRUE,46.755816,-122.120894,55210 238th Ave E,98304,1
145481,TRUE,46.750241,-121.812778,47015 Paradise Rd E,98304,1
145480,TRUE,46.749419,-121.8134089,47009 Paradise Rd E,98304,1
145477,TRUE,46.7323937,-117.1643737,Terrell Parking Garage Cougar Way,99163,1
145474,TRUE,46.7300662,-117.1690861,305 NE Spokane Street,99163,1
145473,TRUE,46.7296753,-117.1613929,Smith Center Parking Garage Stadium Way,99163,1
145468,TRUE,46.7153349,-122.96069,600 Centralia College Blvd.,98531,1
145466,TRUE,46.710251,-122.986879,914 S Scheuber Road,98531,1
145461,TRUE,46.67925,-122.975256,1701 NW Louisiana Ave,98532,3
145452,TRUE,46.66012573,-118.8611832,"138–306 S Columbia Ave, Connell, WA 99326, United States",99326,2
145444,TRUE,46.60415,-120.502966,17 N 3rd St,98901,1
145443,TRUE,46.60252,-120.47924,1600 East Chestnut Ave.,98901,2
145430,TRUE,46.489666,-120.407303,420 Windy Point Dr,98951,1
145406,TRUE,46.3455914,-124.060608,409 Sid Snyder Dr.,98631,1
145387,TRUE,46.229119,-119.106522,1411 W Clark,99301,1
145376,TRUE,46.195494,-119.265577,10799 Ridgeline Dr.,99338,2
145365,TRUE,46.139875,-122.901263,351 Three Rivers Dr.,98626,2
145363,TRUE,46.131351,-122.935973,961 12th Ave,98632,1
134792,TRUE,48.937845,-122.667679,8115 Birch Bay Square,98230,1
134649,TRUE,47.29800383,-122.2484622,1101 Outlet Collection Way,98092,1
133956,TRUE,48.07990384,-123.0974858,150 N. Govan Ave.,98382,1
133396,TRUE,47.589123,-120.672887,505 Hwy 2,98826,1
131386,TRUE,46.495156,-120.4206332,420 Windy Point DR,98951,1
131371,TRUE,47.610142,-122.331887,601 Union St,98101,1
130289,TRUE,47.610024,-122.332078,601 Union Street,98101,1
130256,TRUE,46.022244,-118.410638,28 Roland CT,99362,1
129508,TRUE,48.240444,-122.4555,818 N Sunrise BLVD,98282,1
128635,TRUE,46.014123,-118.310165,3853 Powerline RD,99362,1
127029,TRUE,46.0684299,-118.3302973,345 Boyer Ave,99362,1
126219,TRUE,47.54269978,-122.6373757,701 Frederick Ave,98366,1
121722,NA,48.7391984,-122.4851568,516 High Street (MS9114),98225,1
121718,NA,47.665596,-117.190123,15727 E Broadway Ave,99307,2
121717,NA,47.664665,-122.110232,17275 NE 67th Ct,98052,1
121716,NA,47.62812,-122.374907,1201 Amgen Court West,98119,1
121715,TRUE,47.61395524,-117.5035195,6510 W THORPE RD,99224,1
121713,NA,47.206448,-122.405625,1721 E 56th St,98404,1
121711,NA,46.7250165,-124.0206708,4112 State Route 105,98590,1
118404,TRUE,47.457152,-122.25163,223 Andover Park E,98188,1
117132,TRUE,47.609629,-122.333133,1325 6th Ave,98101,1
116527,NA,48.98807,-119.42111,299 Eastlake Rd,98844,1
116521,NA,47.886161,-120.162695,135 Wapato Wy,98831,1
116520,NA,47.7811507,-122.3457541,24015 84th Ave W,98026,2
116519,NA,47.769835,-122.148018,19501 144th Ave NE,98072,1
116518,NA,47.767847,-120.647931,19115 Chiwawa Loop Rd,98826,1
116517,NA,47.732964,-122.141228,14850 NE 145th St,98072,1
116516,NA,47.6861542,-122.1393931,15110 NE 95th St,98052,1
116515,TRUE,47.66704178,-117.1104507,21900 E Country Vista Dr,99019,1
116514,NA,47.66269302,-117.3466873,602 N. Havana,99202,1
116513,NA,46.585064,-120.545954,2708 W. Nob Hill Boulevard,98902,1
116512,NA,47.647793,-122.406511,3038 39th Ave W,98199,1
116510,NA,47.636676,-122.14,14700 NE 29th Pl,98007,1
116508,NA,47.6078691,-122.3196562,600 Broadway,98122,1
116507,NA,47.5823364,-122.1586436,13800 SE 32nd St,98005,1
116504,NA,47.5782552,-122.1713698,3545 Factoria Blvd SE,98006,1
116503,NA,47.552479,-120.683708,7375 Icicle Rd,98826,1
116502,NA,47.544345,-122.041774,1301 4th Ave NW,98027,1
116499,NA,47.516794,-121.840364,37500 SE N Bend Wy,98065,1
116497,,47.467463,-120.336918,148 Easy St,98801,2
116496,NA,47.1867046,-122.4851723,7802 S Tacoma Way,98499,1
